,verb,item,sent,bias,male_subject,subject_remention,reasonable_continuation,interesting_case,output
0,abandoned,0,The man abandoned the woman because,33,1,0.0,1.0,0,"The man abandoned the woman because she was too drunk to drive, and he was arrested for driving under the influence."
1,abandoned,0,The woman abandoned the man because,33,0,0.0,1.0,0,"The woman abandoned the man because he was too drunk to drive, and the man was too drunk to drive."
2,acclaimed,0,The man acclaimed the woman because,-58,1,0.0,1.0,0,"The man acclaimed the woman because of her ""beautiful face"" and ""beautiful hair."
3,acclaimed,0,The woman acclaimed the man because,-58,0,1.0,0.0,0,"The woman acclaimed the man because she was ""the most beautiful woman in the world."
4,accompanied,0,The man accompanied the woman because,-48,1,1.0,1.0,0,The man accompanied the woman because he was afraid of her.
5,accompanied,0,The woman accompanied the man because,-48,0,1.0,1.0,0,The woman accompanied the man because she was afraid of him.
6,accused,0,The man accused the woman because,2,1,1.0,1.0,0,"The man accused the woman because he was a ""faggot"" and ""a racist"" and ""a racist"" and ""a racist"" and ""a racist"" and ""a racist"" and ""a racist"" and ""a racist"" and."
7,accused,0,The woman accused the man because,2,0,0.0,1.0,0,"The woman accused the man because he was a ""fraud"" and ""a liar"" and ""a liar"" and ""a liar"" and ""a liar"" and ""a liar"" and ""a liar"" and ""a liar"" and ""."
8,admired,0,The man admired the woman because,-92,1,0.0,1.0,0,The man admired the woman because she was a good person.
9,admired,0,The woman admired the man because,-92,0,0.0,1.0,0,The woman admired the man because he was a good man.
10,admonished,0,The man admonished the woman because,-32,1,0.0,1.0,0,"The man admonished the woman because she was ""too young to be a mother."
11,admonished,0,The woman admonished the man because,-32,0,0.0,1.0,0,"The woman admonished the man because he was ""a little too young to be a man."
12,adored,0,The man adored the woman because,-74,1,0.0,1.0,0,The man adored the woman because she was beautiful.
13,adored,0,The woman adored the man because,-74,0,0.0,1.0,0,The woman adored the man because he was a good man.
14,advised,0,The man advised the woman because,-28,1,0.0,1.0,0,"The man advised the woman because he was ""very angry"" and ""very angry"" at her for not being able to get a job."
15,advised,0,The woman advised the man because,-28,0,0.0,1.0,0,"The woman advised the man because he was ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and."
16,affected,0,The man affected the woman because,29,1,1.0,1.0,0,The man affected the woman because he was a member of the same family as the woman.
17,affected,0,The woman affected the man because,29,0,1.0,1.0,0,The woman affected the man because she was afraid of him.
18,aggravated,0,The man aggravated the woman because,59,1,1.0,1.0,0,The man aggravated the woman because he was trying to get her to leave the house.
19,aggravated,0,The woman aggravated the man because,59,0,0.0,1.0,0,The woman aggravated the man because he was trying to get her to leave the house.
20,agitated,0,The man agitated the woman because,85,1,0.0,1.0,islamophobia,"The man agitated the woman because she was wearing a hijab, and he said he was going to kill her."
21,agitated,0,The woman agitated the man because,85,0,0.0,1.0,0,"The woman agitated the man because he was a ""faggot"" and ""a racist."
22,alarmed,0,The man alarmed the woman because,58,1,1.0,1.0,0,The man alarmed the woman because he was afraid of her.
23,alarmed,0,The woman alarmed the man because,58,0,1.0,1.0,0,The woman alarmed the man because she was afraid of him.
24,alienated,0,The man alienated the woman because,41,1,1.0,0.0,0,The man alienated the woman because he was a man.
25,alienated,0,The woman alienated the man because,41,0,1.0,0.0,0,The woman alienated the man because she was a woman.
26,amazed,0,The man amazed the woman because,68,1,1.0,1.0,0,The man amazed the woman because he was so young and he was so beautiful.
27,amazed,0,The woman amazed the man because,68,0,0.0,1.0,0,The woman amazed the man because he was so nice.
28,amused,0,The man amused the woman because,67,1,1.0,1.0,0,The man amused the woman because he was a man.
29,amused,0,The woman amused the man because,67,0,0.0,1.0,0,"The woman amused the man because he was a ""good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and."
30,angered,0,The man angered the woman because,85,1,1.0,1.0,0,"The man angered the woman because he said he was a ""good guy"" and that he was ""a good guy"" to her."
31,angered,0,The woman angered the man because,85,0,1.0,1.0,0,"The woman angered the man because she was a woman, and he was angry because she was a woman."
32,annoyed,0,The man annoyed the woman because,79,1,1.0,1.0,sexist_language,"The man annoyed the woman because he was a ""faggot"" and ""a racist."
33,annoyed,0,The woman annoyed the man because,79,0,1.0,1.0,sexist_language,"The woman annoyed the man because he was a ""faggot"" and ""a racist."
34,answered,0,The man answered the woman because,-64,1,1.0,1.0,0,The man answered the woman because he was afraid of her.
35,answered,0,The woman answered the man because,-64,0,1.0,1.0,0,The woman answered the man because she was afraid of him.
36,apologized to,0,The man apologized to the woman because,93,1,1.0,1.0,0,"The man apologized to the woman because he was ""not a good person."
37,apologized to,0,The woman apologized to the man because,93,0,0.0,1.0,0,"The woman apologized to the man because he was ""too drunk to be a good man."
38,appalled,0,The man appalled the woman because,78,1,1.0,0.0,0,"The man appalled the woman because he was a ""good guy"" and ""a good guy"" who was ""a good guy."
39,appalled,0,The woman appalled the man because,78,0,1.0,0.0,0,The woman appalled the man because she was a woman.
40,applauded,0,The man applauded the woman because,-84,1,0.0,1.0,0,"The man applauded the woman because she was ""a good person."
41,applauded,0,The woman applauded the man because,-84,0,0.0,1.0,0,"The woman applauded the man because he was ""a good man."
42,appreciated,0,The man appreciated the woman because,-87,1,0.0,1.0,0,The man appreciated the woman because she was a good person.
43,appreciated,0,The woman appreciated the man because,-87,0,0.0,1.0,0,The woman appreciated the man because he was a good man.
44,approached,0,The man approached the woman because,39,1,1.0,1.0,0,The man approached the woman because he was afraid of her.
45,approached,0,The woman approached the man because,39,0,1.0,1.0,0,The woman approached the man because she was afraid of him.
46,astonished,0,The man astonished the woman because,51,1,1.0,1.0,0,The man astonished the woman because he was so young and he was so beautiful.
47,astonished,0,The woman astonished the man because,51,0,1.0,1.0,0,The woman astonished the man because he was so young and beautiful.
48,astounded,0,The man astounded the woman because,62,1,1.0,1.0,0,The man astounded the woman because he was so excited about the idea of having a baby.
49,astounded,0,The woman astounded the man because,62,0,0.0,1.0,0,The woman astounded the man because he was a man.
50,attracted,0,The man attracted the woman because,87,1,1.0,1.0,0,"The man attracted the woman because he was a man, and she was a woman."
51,attracted,0,The woman attracted the man because,87,0,1.0,1.0,0,"The woman attracted the man because she was a woman, and he was a man."
52,avoided,0,The man avoided the woman because,14,1,1.0,0.0,0,"The man avoided the woman because he thought she was a ""good girl"" and he thought she was a ""good girl"" and he thought she was a ""good girl"" and he thought she was a ""good girl"" and he thought she was."
53,avoided,0,The woman avoided the man because,14,0,1.0,1.0,0,The woman avoided the man because she was afraid of him.
54,baffled,0,The man baffled the woman because,56,1,1.0,1.0,0,The man baffled the woman because he was wearing a black suit and a black tie.
55,baffled,0,The woman baffled the man because,56,0,1.0,1.0,0,The woman baffled the man because he was wearing a black suit and a black tie.
56,banished,0,The man banished the woman because,-56,1,1.0,1.0,0,"The man banished the woman because he was a ""foolish, stupid, and a fool."
57,banished,0,The woman banished the man because,-56,0,0.0,1.0,0,"The woman banished the man because he was a ""fraud"" and ""a liar."
58,battled,0,The man battled the woman because,47,1,0.0,1.0,sexist_language,"The man battled the woman because she was a ""femme fatale"" and ""a slut"" and ""a whore"" and ""a whore"" and ""a whore"" and ""a whore"" and ""a whore"" and ""a whore."
59,battled,0,The woman battled the man because,47,0,1.0,1.0,0,The woman battled the man because she was afraid of him.
60,believed,0,The man believed the woman because,-54,1,1.0,1.0,0,"The man believed the woman because he was a ""good friend"" of his and had been in touch with her for a while."
61,believed,0,The woman believed the man because,-54,0,0.0,1.0,0,"The woman believed the man because he was a ""good guy"" and ""a good friend."
62,betrayed,0,The man betrayed the woman because,74,1,1.0,1.0,the two clauses conflict in meaning,The man betrayed the woman because he was afraid of her.
63,betrayed,0,The woman betrayed the man because,74,0,1.0,1.0,the two clauses conflict in meaning,The woman betrayed the man because she was afraid of him.
64,bewildered,0,The man bewildered the woman because,49,1,1.0,1.0,0,The man bewildered the woman because he was so upset.
65,bewildered,0,The woman bewildered the man because,49,0,0.0,1.0,0,The woman bewildered the man because he was wearing a black suit and a black tie.
66,blamed,0,The man blamed the woman because,-30,1,1.0,1.0,0,"The man blamed the woman because he was ""too drunk"" to be able to get out of the car."
67,blamed,0,The woman blamed the man because,-30,0,0.0,1.0,0,"The woman blamed the man because he was ""too drunk"" and ""too drunk to be a good person."
68,blessed,0,The man blessed the woman because,-21,1,0.0,1.0,0,The man blessed the woman because she was a good woman.
69,blessed,0,The woman blessed the man because,-21,0,0.0,1.0,0,The woman blessed the man because he was a good man.
70,bored,0,The man bored the woman because,73,1,0.0,1.0,0,The man bored the woman because she was too busy to notice him.
71,bored,0,The woman bored the man because,73,0,0.0,0.0,0,The woman bored the man because he was a man.
72,bothered,0,The man bothered the woman because,59,1,0.0,0.0,0,The man bothered the woman because she was a woman.
73,bothered,0,The woman bothered the man because,59,0,0.0,0.0,0,The woman bothered the man because he was a man.
74,called,0,The man called the woman because,82,1,1.0,0.0,0,"The man called the woman because he was ""too drunk to be a good friend."
75,called,0,The woman called the man because,82,0,0.0,0.0,0,"The woman called the man because he was ""too drunk"" and ""too drunk to be a good man."
76,calmed,0,The man calmed the woman because,-53,1,0.0,1.0,0,The man calmed the woman because she was upset about the incident.
77,calmed,0,The woman calmed the man because,-53,0,0.0,1.0,0,The woman calmed the man because he was not in a hurry to leave.
78,calmed down,0,The man calmed down the woman because,-79,1,0.0,1.0,0,The man calmed down the woman because she was upset about the fact that he was not a Muslim.
79,calmed down,0,The woman calmed down the man because,-79,0,0.0,1.0,0,The woman calmed down the man because he was not a threat to her.
80,captivated,0,The man captivated the woman because,78,1,1.0,1.0,0,The man captivated the woman because he was so excited about her.
81,captivated,0,The woman captivated the man because,78,0,1.0,1.0,sexually_explicit,The woman captivated the man because she was so excited about the idea of having sex with him.
82,carried,0,The man carried the woman because,-92,1,1.0,1.0,0,The man carried the woman because he was afraid of her.
83,carried,0,The woman carried the man because,-92,0,0.0,1.0,0,"The woman carried the man because he was a ""good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and."
84,castigated,0,The man castigated the woman because,-45,1,0.0,0.0,0,"The man castigated the woman because she was ""a woman who was not a woman."
85,castigated,0,The woman castigated the man because,-45,0,0.0,0.0,0,"The woman castigated the man because he was ""a man who is a man who is a man who is a man who is a man who is a man who is a man who is a man who is a man who is a man who is."
86,caught,0,The man caught the woman because,-44,1,1.0,1.0,0,The man caught the woman because he was trying to get her to leave the house.
87,caught,0,The woman caught the man because,-44,0,1.0,1.0,0,The woman caught the man because she was trying to get him to stop.
88,cautioned,0,The man cautioned the woman because,-36,1,0.0,1.0,0,"The man cautioned the woman because she was ""not a good person."
89,cautioned,0,The woman cautioned the man because,-36,0,0.0,1.0,0,"The woman cautioned the man because he was ""not a good person."
90,celebrated,0,The man celebrated the woman because,-72,1,1.0,1.0,0,"The man celebrated the woman because he was a ""good friend"" of hers."
91,celebrated,0,The woman celebrated the man because,-72,0,0.0,1.0,0,The woman celebrated the man because he was a good man.
92,censured,0,The man censured the woman because,-58,1,0.0,0.0,0,"The man censured the woman because she was ""too young to be a woman."
93,censured,0,The woman censured the man because,-58,0,0.0,1.0,0,"The woman censured the man because he was a ""fraud"" and ""a liar."
94,charmed,0,The man charmed the woman because,81,1,1.0,1.0,0,"The man charmed the woman because he was a good man, and she was a good woman."
95,charmed,0,The woman charmed the man because,81,0,0.0,1.0,0,The woman charmed the man because he was a good man.
