,verb,item,sent,bias,subject_gender,surprisal_he,surprisal_she,subject_preference
0,abandoned,0,The man abandoned the woman because,33,1,1.43002224,1.416417718,-0.013604522
1,abandoned,0,The woman abandoned the man because,33,0,1.402688384,1.51499176,-0.112303376
2,acclaimed,0,The man acclaimed the woman because,-58,1,1.639303803,2.250923872,0.611620069
3,acclaimed,0,The woman acclaimed the man because,-58,0,1.749077559,1.708874822,0.040202737
4,accompanied,0,The man accompanied the woman because,-48,1,1.403665304,1.746100664,0.34243536
5,accompanied,0,The woman accompanied the man because,-48,0,1.632408381,1.382772207,0.249636174
6,accused,0,The man accused the woman because,2,1,1.315040112,1.694337487,0.379297375
7,accused,0,The woman accused the man because,2,0,1.387568474,1.602791667,-0.215223193
8,admired,0,The man admired the woman because,-92,1,1.667497873,1.318937182,-0.348560691
9,admired,0,The woman admired the man because,-92,0,1.169163227,1.925011754,-0.755848527
10,admonished,0,The man admonished the woman because,-32,1,1.853698134,1.413356662,-0.440341472
11,admonished,0,The woman admonished the man because,-32,0,1.337562561,1.990194082,-0.652631521
12,adored,0,The man adored the woman because,-74,1,1.557473063,1.385270238,-0.172202825
13,adored,0,The woman adored the man because,-74,0,1.165647388,1.805973291,-0.640325903
14,advised,0,The man advised the woman because,-28,1,1.561671972,1.736483335,0.174811363
15,advised,0,The woman advised the man because,-28,0,1.633035183,1.706495285,-0.073460102
16,affected,0,The man affected the woman because,29,1,1.428088427,1.83501327,0.406924843
17,affected,0,The woman affected the man because,29,0,1.651625633,1.637569785,0.014055848
18,aggravated,0,The man aggravated the woman because,59,1,1.193828106,1.64912796,0.455299854
19,aggravated,0,The woman aggravated the man because,59,0,1.395077348,1.434680104,-0.039602756
20,agitated,0,The man agitated the woman because,85,1,1.508297324,1.202746034,-0.30555129
21,agitated,0,The woman agitated the man because,85,0,1.191913009,1.606729746,-0.414816737
22,alarmed,0,The man alarmed the woman because,58,1,1.226085782,1.759435654,0.533349872
23,alarmed,0,The woman alarmed the man because,58,0,1.504291296,1.473703146,0.03058815
24,alienated,0,The man alienated the woman because,41,1,1.236929536,1.851014853,0.614085317
25,alienated,0,The woman alienated the man because,41,0,1.516287446,1.487900734,0.028386712
26,amazed,0,The man amazed the woman because,68,1,1.290717602,1.602432966,0.311715364
27,amazed,0,The woman amazed the man because,68,0,1.287723899,1.635893822,-0.348169923
28,amused,0,The man amused the woman because,67,1,1.332625031,1.558244348,0.225619317
29,amused,0,The woman amused the man because,67,0,1.342515707,1.605943561,-0.263427854
30,angered,0,The man angered the woman because,85,1,1.085462689,1.726955175,0.641492486
31,angered,0,The woman angered the man because,85,0,1.469401836,1.272279501,0.197122335
32,annoyed,0,The man annoyed the woman because,79,1,1.292842865,1.475502133,0.182659268
33,annoyed,0,The woman annoyed the man because,79,0,1.236351132,1.587636232,-0.3512851
34,answered,0,The man answered the woman because,-64,1,1.322970986,1.458322763,0.135351777
35,answered,0,The woman answered the man because,-64,0,1.476920128,1.375909925,0.101010203
36,apologized to,0,The man apologized to the woman because,93,1,1.276032567,1.65702498,0.380992413
37,apologized to,0,The woman apologized to the man because,93,0,1.373943329,1.546817422,-0.172874093
38,appalled,0,The man appalled the woman because,78,1,1.138292551,1.977788091,0.83949554
39,appalled,0,The woman appalled the man because,78,0,1.559298038,1.476328135,0.082969903
40,applauded,0,The man applauded the woman because,-84,1,1.614345431,1.395605564,-0.218739867
41,applauded,0,The woman applauded the man because,-84,0,1.170868039,1.966148734,-0.795280695
42,appreciated,0,The man appreciated the woman because,-87,1,1.543819308,1.251256108,-0.2925632
43,appreciated,0,The woman appreciated the man because,-87,0,1.170430064,1.702216864,-0.5317868
44,approached,0,The man approached the woman because,39,1,1.282569528,1.3306036,0.048034072
45,approached,0,The woman approached the man because,39,0,1.431039691,1.19365406,0.237385631
46,astonished,0,The man astonished the woman because,51,1,1.158843756,1.791145444,0.632301688
47,astonished,0,The woman astonished the man because,51,0,1.382839203,1.512500405,-0.129661202
48,astounded,0,The man astounded the woman because,62,1,1.287335157,1.780113697,0.49277854
49,astounded,0,The woman astounded the man because,62,0,1.515730262,1.543830872,-0.02810061
50,attracted,0,The man attracted the woman because,87,1,1.312994599,1.816064596,0.503069997
51,attracted,0,The woman attracted the man because,87,0,1.870802522,1.191484928,0.679317594
52,avoided,0,The man avoided the woman because,14,1,1.423466802,1.595592499,0.172125697
53,avoided,0,The woman avoided the man because,14,0,1.539095521,1.396193027,0.142902494
54,baffled,0,The man baffled the woman because,56,1,1.302053213,1.730683446,0.428630233
55,baffled,0,The woman baffled the man because,56,0,1.449032187,1.539266706,-0.090234519
56,banished,0,The man banished the woman because,-56,1,1.309918165,1.641764879,0.331846714
57,banished,0,The woman banished the man because,-56,0,1.377952099,1.53316021,-0.155208111
58,battled,0,The man battled the woman because,47,1,1.533254862,1.492562532,-0.04069233
59,battled,0,The woman battled the man because,47,0,1.528848648,1.521881223,0.006967425
60,believed,0,The man believed the woman because,-54,1,1.362821937,1.565921068,0.203099131
61,believed,0,The woman believed the man because,-54,0,1.276276827,1.637005448,-0.360728621
62,betrayed,0,The man betrayed the woman because,74,1,1.089032888,1.926822424,0.837789536
63,betrayed,0,The woman betrayed the man because,74,0,1.653692603,1.254472733,0.39921987
64,bewildered,0,The man bewildered the woman because,49,1,1.387909889,1.671414375,0.283504486
65,bewildered,0,The woman bewildered the man because,49,0,1.387912035,1.703655601,-0.315743566
66,blamed,0,The man blamed the woman because,-30,1,1.430241942,1.627111077,0.196869135
67,blamed,0,The woman blamed the man because,-30,0,1.384693503,1.703111768,-0.318418265
68,blessed,0,The man blessed the woman because,-21,1,1.530590773,1.492264748,-0.038326025
69,blessed,0,The woman blessed the man because,-21,0,1.414675832,1.746775746,-0.332099914
70,bored,0,The man bored the woman because,73,1,1.390337467,1.364988685,-0.025348782
71,bored,0,The woman bored the man because,73,0,1.228207469,1.62914443,-0.400936961
72,bothered,0,The man bothered the woman because,59,1,1.411254406,1.391651034,-0.019603372
73,bothered,0,The woman bothered the man because,59,0,1.32355237,1.455293894,-0.131741524
74,called,0,The man called the woman because,82,1,1.297947407,1.469324827,0.17137742
75,called,0,The woman called the man because,82,0,1.2248981,1.53967309,-0.31477499
76,calmed,0,The man calmed the woman because,-53,1,1.509267569,1.462884665,-0.046382904
