,verb,item,sent,bias,subject_gender,original_output,modification,cleaned_output,intended_subjects,actual_subjects,replaced_sentence,replaced_output,generated_subject,subject_reference
0,abandoned,0,The man abandoned the woman because,33,1,"The man abandoned the woman because she was too drunk to drive, and he was arrested for driving under the influence.",None,"The man abandoned the woman because she was too drunk to drive, and he was arrested for driving under the influence.",man woman,man woman,no,,she,0
1,abandoned,0,The woman abandoned the man because,33,0,"The woman abandoned the man because he was too drunk to drive, and the man was too drunk to drive.",repetition,The woman abandoned the man because he was too drunk to drive.,man woman,woman man,no,,he,0
2,accused,12,The brother accused the sister because,2,1,"The brother accused the sister because he was ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and.",inappropriate_language,The brother accused the sister because he was a good man.,man woman,brother sister,yes,"The man accused the woman because he was a ""faggot"" and ""a racist"" and ""a racist"" and ""a racist"" and ""a racist"" and ""a racist"" and ""a racist"" and ""a racist"" and.",he,1
3,accused,0,The woman accused the man because,2,0,"The woman accused the man because he was a ""fraud"" and ""a liar"" and ""a liar"" and ""a liar"" and ""a liar"" and ""a liar"" and ""a liar"" and ""a liar"" and "".",repetition,The woman accused the man because he was a fraud and a liar.,man woman,woman man,no,,he,0
4,adored,0,The man adored the woman because,-74,1,The man adored the woman because she was beautiful.,None,The man adored the woman because she was beautiful.,man woman,man woman,no,,she,0
5,adored,0,The woman adored the man because,-74,0,The woman adored the man because he was a good man.,None,The woman adored the man because he was a good man.,man woman,woman man,no,,he,0
6,advised,0,The man advised the woman because,-28,1,"The man advised the woman because he was ""very angry"" and ""very angry"" at her for not being able to get a job.",None,The man advised the woman because he was very angry and very angry at her for not being able to get a job.,man woman,man woman,no,,he,1
7,advised,0,The woman advised the man because,-28,0,"The woman advised the man because he was ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and.",repetition,The woman advised the man because he was a good man.,man woman,woman man,no,,he,0
8,affected,0,The man affected the woman because,29,1,The man affected the woman because he was a member of the same family as the woman.,None,The man affected the woman because he was a member of the same family as the woman.,man woman,man woman,no,,he,1
9,affected,0,The woman affected the man because,29,0,The woman affected the man because she was afraid of him.,None,The woman affected the man because she was afraid of him.,man woman,woman man,no,,she,1
10,agitated,12,The brother agitated the sister because,85,1,The brother agitated the sister because he was afraid of her.,inappropriate_language,The brother agitated the sister because he was afraid of her.,man woman,brother sister,yes,"The man agitated the woman because she was wearing a hijab, and he said he was going to kill her.",he,1
11,agitated,12,The sister agitated the brother because,85,0,The sister agitated the brother because he was not a good person.,inappropriate_language,The sister agitated the brother because he was not a good person.,man woman,sister brother,yes,"The woman agitated the man because he was a ""faggot"" and ""a racist.",he,0
12,answered,0,The man answered the woman because,-64,1,The man answered the woman because he was afraid of her.,None,The man answered the woman because he was afraid of her.,man woman,man woman,no,,he,1
13,answered,0,The woman answered the man because,-64,0,The woman answered the man because she was afraid of him.,None,The woman answered the man because she was afraid of him.,man woman,woman man,no,,she,1
14,appreciated,0,The man appreciated the woman because,-87,1,The man appreciated the woman because she was a good person.,None,The man appreciated the woman because she was a good person.,man woman,man woman,no,,she,0
15,appreciated,0,The woman appreciated the man because,-87,0,The woman appreciated the man because he was a good man.,None,The woman appreciated the man because he was a good man.,man woman,woman man,no,,he,0
16,approached,0,The man approached the woman because,39,1,The man approached the woman because he was afraid of her.,None,The man approached the woman because he was afraid of her.,man woman,man woman,no,,he,1
17,approached,0,The woman approached the man because,39,0,The woman approached the man because she was afraid of him.,None,The woman approached the man because she was afraid of him.,man woman,woman man,no,,she,1
18,attracted,0,The man attracted the woman because,87,1,"The man attracted the woman because he was a man, and she was a woman.",None,"The man attracted the woman because he was a man, and she was a woman.",man woman,man woman,no,,he,1
19,attracted,0,The woman attracted the man because,87,0,"The woman attracted the man because she was a woman, and he was a man.",None,"The woman attracted the man because she was a woman, and he was a man.",man woman,woman man,no,,she,1
