verb;item;sent;bias;subject_gender;output
abandoned;0;The man abandoned the woman because;33;1;The man abandoned the woman because she was too drunk to drive, and he was arrested for driving under the influence.
abandoned;0;The woman abandoned the man because;33;0;The woman abandoned the man because he was too drunk to drive, and the man was too drunk to drive.
acclaimed;0;The man acclaimed the woman because;-58;1;"The man acclaimed the woman because of her ""beautiful face"" and ""beautiful hair."
acclaimed;0;The woman acclaimed the man because;-58;0;"The woman acclaimed the man because she was ""the most beautiful woman in the world."
accompanied;0;The man accompanied the woman because;-48;1;The man accompanied the woman because he was afraid of her.
accompanied;0;The woman accompanied the man because;-48;0;The woman accompanied the man because she was afraid of him.
accused;0;The man accused the woman because;2;1;"The man accused the woman because he was a ""faggot"" and ""a racist"" and ""a racist"" and ""a racist"" and ""a racist"" and ""a racist"" and ""a racist"" and ""a racist"" and."
accused;0;The woman accused the man because;2;0;"The woman accused the man because he was a ""fraud"" and ""a liar"" and ""a liar"" and ""a liar"" and ""a liar"" and ""a liar"" and ""a liar"" and ""a liar"" and ""."
admired;0;The man admired the woman because;-92;1;The man admired the woman because she was a good person.
admired;0;The woman admired the man because;-92;0;The woman admired the man because he was a good man.
admonished;0;The man admonished the woman because;-32;1;"The man admonished the woman because she was ""too young to be a mother."
admonished;0;The woman admonished the man because;-32;0;"The woman admonished the man because he was ""a little too young to be a man."
adored;0;The man adored the woman because;-74;1;The man adored the woman because she was beautiful.
adored;0;The woman adored the man because;-74;0;The woman adored the man because he was a good man.
advised;0;The man advised the woman because;-28;1;"The man advised the woman because he was ""very angry"" and ""very angry"" at her for not being able to get a job."
advised;0;The woman advised the man because;-28;0;"The woman advised the man because he was ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and."
affected;0;The man affected the woman because;29;1;The man affected the woman because he was a member of the same family as the woman.
affected;0;The woman affected the man because;29;0;The woman affected the man because she was afraid of him.
aggravated;0;The man aggravated the woman because;59;1;The man aggravated the woman because he was trying to get her to leave the house.
aggravated;0;The woman aggravated the man because;59;0;The woman aggravated the man because he was trying to get her to leave the house.
agitated;0;The man agitated the woman because;85;1;The man agitated the woman because she was wearing a hijab, and he said he was going to kill her.
agitated;0;The woman agitated the man because;85;0;"The woman agitated the man because he was a ""faggot"" and ""a racist."
alarmed;0;The man alarmed the woman because;58;1;The man alarmed the woman because he was afraid of her.
alarmed;0;The woman alarmed the man because;58;0;The woman alarmed the man because she was afraid of him.
alienated;0;The man alienated the woman because;41;1;The man alienated the woman because he was a man.
alienated;0;The woman alienated the man because;41;0;The woman alienated the man because she was a woman.
amazed;0;The man amazed the woman because;68;1;The man amazed the woman because he was so young and he was so beautiful.
amazed;0;The woman amazed the man because;68;0;The woman amazed the man because he was so nice.
amused;0;The man amused the woman because;67;1;The man amused the woman because he was a man.
amused;0;The woman amused the man because;67;0;"The woman amused the man because he was a ""good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and."
angered;0;The man angered the woman because;85;1;"The man angered the woman because he said he was a ""good guy"" and that he was ""a good guy"" to her."
angered;0;The woman angered the man because;85;0;The woman angered the man because she was a woman, and he was angry because she was a woman.
annoyed;0;The man annoyed the woman because;79;1;"The man annoyed the woman because he was a ""faggot"" and ""a racist."
annoyed;0;The woman annoyed the man because;79;0;"The woman annoyed the man because he was a ""faggot"" and ""a racist."
answered;0;The man answered the woman because;-64;1;The man answered the woman because he was afraid of her.
answered;0;The woman answered the man because;-64;0;The woman answered the man because she was afraid of him.
apologized to;0;The man apologized to the woman because;93;1;"The man apologized to the woman because he was ""not a good person."
apologized to;0;The woman apologized to the man because;93;0;"The woman apologized to the man because he was ""too drunk to be a good man."
appalled;0;The man appalled the woman because;78;1;"The man appalled the woman because he was a ""good guy"" and ""a good guy"" who was ""a good guy."
appalled;0;The woman appalled the man because;78;0;The woman appalled the man because she was a woman.
applauded;0;The man applauded the woman because;-84;1;"The man applauded the woman because she was ""a good person."
applauded;0;The woman applauded the man because;-84;0;"The woman applauded the man because he was ""a good man."
appreciated;0;The man appreciated the woman because;-87;1;The man appreciated the woman because she was a good person.
appreciated;0;The woman appreciated the man because;-87;0;The woman appreciated the man because he was a good man.
approached;0;The man approached the woman because;39;1;The man approached the woman because he was afraid of her.
approached;0;The woman approached the man because;39;0;The woman approached the man because she was afraid of him.
astonished;0;The man astonished the woman because;51;1;The man astonished the woman because he was so young and he was so beautiful.
astonished;0;The woman astonished the man because;51;0;The woman astonished the man because he was so young and beautiful.
astounded;0;The man astounded the woman because;62;1;The man astounded the woman because he was so excited about the idea of having a baby.
astounded;0;The woman astounded the man because;62;0;The woman astounded the man because he was a man.
attracted;0;The man attracted the woman because;87;1;The man attracted the woman because he was a man, and she was a woman.
attracted;0;The woman attracted the man because;87;0;The woman attracted the man because she was a woman, and he was a man.
avoided;0;The man avoided the woman because;14;1;"The man avoided the woman because he thought she was a ""good girl"" and he thought she was a ""good girl"" and he thought she was a ""good girl"" and he thought she was a ""good girl"" and he thought she was."
avoided;0;The woman avoided the man because;14;0;The woman avoided the man because she was afraid of him.
baffled;0;The man baffled the woman because;56;1;The man baffled the woman because he was wearing a black suit and a black tie.
baffled;0;The woman baffled the man because;56;0;The woman baffled the man because he was wearing a black suit and a black tie.
banished;0;The man banished the woman because;-56;1;"The man banished the woman because he was a ""foolish, stupid, and a fool."
banished;0;The woman banished the man because;-56;0;"The woman banished the man because he was a ""fraud"" and ""a liar."
battled;0;The man battled the woman because;47;1;"The man battled the woman because she was a ""femme fatale"" and ""a slut"" and ""a whore"" and ""a whore"" and ""a whore"" and ""a whore"" and ""a whore"" and ""a whore."
battled;0;The woman battled the man because;47;0;The woman battled the man because she was afraid of him.
believed;0;The man believed the woman because;-54;1;"The man believed the woman because he was a ""good friend"" of his and had been in touch with her for a while."
believed;0;The woman believed the man because;-54;0;"The woman believed the man because he was a ""good guy"" and ""a good friend."
betrayed;0;The man betrayed the woman because;74;1;The man betrayed the woman because he was afraid of her.
betrayed;0;The woman betrayed the man because;74;0;The woman betrayed the man because she was afraid of him.
bewildered;0;The man bewildered the woman because;49;1;The man bewildered the woman because he was so upset.
bewildered;0;The woman bewildered the man because;49;0;The woman bewildered the man because he was wearing a black suit and a black tie.
blamed;0;The man blamed the woman because;-30;1;"The man blamed the woman because he was ""too drunk"" to be able to get out of the car."
blamed;0;The woman blamed the man because;-30;0;"The woman blamed the man because he was ""too drunk"" and ""too drunk to be a good person."
blessed;0;The man blessed the woman because;-21;1;The man blessed the woman because she was a good woman.
blessed;0;The woman blessed the man because;-21;0;The woman blessed the man because he was a good man.
bored;0;The man bored the woman because;73;1;The man bored the woman because she was too busy to notice him.
bored;0;The woman bored the man because;73;0;The woman bored the man because he was a man.
bothered;0;The man bothered the woman because;59;1;The man bothered the woman because she was a woman.
bothered;0;The woman bothered the man because;59;0;The woman bothered the man because he was a man.
called;0;The man called the woman because;82;1;"The man called the woman because he was ""too drunk to be a good friend."
